Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Argentina,ARG,-1.87491241541325,-5.44709154527357,-11.8547768361233,7.6765455385672,7.88493756497286,7.72947520461582,6.95554738176538,7.92423813871991,3.02947731150856,-6.85422733296183,9.30012832232192,4.78868313859434,-2.14528444981811,1.26568517537076,-3.57858050983292,1.62966427946265,-3.11006389821465,1.60928234377617,-3.46737624314432,-3.13005137908782,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Bolivia,BOL,0.544926184712779,-0.235706734357976,0.579771054946548,0.831349050253706,2.2984817380683,2.57481330640607,2.97734206021694,2.78132356894432,4.36853739987981,1.64922554346305,2.42927786018541,3.51097503109318,3.45369767643476,5.12757347801841,3.84375722818145,3.28271871061374,2.73204225738901,2.69606298190566,2.75215380976242,0.796552665656364,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Brazil,BRA,2.91182644263147,0.0133697384164577,1.70947438880017,-0.122936492113425,4.49707707823583,2.02630740411568,2.8347540947357,4.97470467428765,4.05440956846654,-1.08194389571234,6.52437280430098,3.02640687298958,1.01450977525141,2.10891183467072,-0.352479217688355,-4.35148398862317,-4.0694071643008,0.508336053889494,0.526155826049262,0.379344236418362,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Chile,CHL,4.09428735354267,2.14618943830904,2.00061767493953,3.00583035674246,6.10283936667567,4.64670086980279,5.20045134165797,3.79033938890592,2.42619717171779,-2.601446897912,4.75022381395627,5.05778792023305,4.30921750358573,3.03152589042497,0.692556386631992,1.10594434535712,0.372104022166411,-0.243323996034391,2.51338504277558,-0.133968534486016,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Colombia,COL,1.28736794818924,0.0967597236302424,0.950715907776441,2.39393954882721,3.85079290108337,3.42334654264872,5.35039250871598,5.4286154432716,2.07578650993585,0.0207200267183794,3.40253084514683,5.91643012933557,2.97954787156493,4.18339295193478,3.44903400869727,1.76114004205137,0.708331383936113,-0.153066085789078,0.971629907629179,1.90442504982143,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Ecuador,ECU,-0.813530424638515,2.1346502142962,2.28468720557832,0.984821248317132,6.40667990028714,3.54385378528043,2.66930490941957,0.494779992858668,4.60705024890949,-1.05818853388385,1.89292757238246,6.2210516775317,4.07025297076338,3.38728046840993,2.1989412270929,-1.50758512320009,-2.89802488713731,0.573877116510374,-0.483387784029688,-1.61236867338619,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Peru,PER,1.21313585431875,-0.656163165022917,4.2796396154646,3.13275064826341,4.00077854568278,5.36230056716857,6.62621597694209,7.63365027236871,8.25062736566287,0.287068446150258,7.45535864787972,5.4673844908754,5.26752882141093,4.90257197041394,1.30570468169185,1.9633170881576,2.42290129520384,0.829119680820753,2.20561703131051,0.512493735175681,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,"Venezuela, RB",VEN,1.7471142974767,1.48955492489866,-10.5039752550767,-9.38424874314646,16.2619571762514,8.49884674308694,8.16271041046474,7.16736951186874,3.79893432581699,-4.56694221230308,-2.9052600304302,2.55931328733871,3.92054222297398,-0.0898371072948549,-4.73105016156384,..,..,..,..,..,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Paraguay,PRY,-4.27497756307527,-2.75661697942127,-1.89227484924943,2.44987422073626,2.28577901807645,0.493016048243362,3.22765726924936,3.9239269165724,4.90977940598893,-1.59578931373859,9.64863675351553,2.83438566692755,-1.89434015750554,6.93928290915227,3.44278330262561,1.7054031286379,2.94123669886739,3.59484709836791,2.02947951100916,-1.28673598517732,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Uruguay,URY,-2.27627549762025,-4.01001500823385,-7.74773641273698,0.877225559396706,5.07345760508846,7.44955367478572,3.98594532757683,6.33851671134349,6.90430746995456,3.94925012642638,7.4953655430263,4.86062488022461,3.23053404483321,4.31446693658681,2.9049777943345,0.030240602931201,1.32976957027928,2.2177686458628,1.24731253455232,-0.13788919732049,..
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 10/07/2020,,,,,,,,,,,,,,,,,,,,,,,,
